RosterID,RoadName,RoadNumber,Manufacturer,Owner,Model,Address,Is Long?,Speed Limit,Comment,Decoder Family,Decoder Model,Decoder Comment,Fn00,Fn01,Fn02,Fn03,Fn04,Fn05,Fn06,Fn07,Fn08,Fn09,Fn10,Fn11,Fn12,Fn13,Fn14,Fn15,Fn16,Fn17,Fn18,Fn19,Fn20,Fn21,Fn22,Fn23,Fn24,Fn25,Fn26,Fn27,Fn28,CV19,CV7,CV8,Speed Steps (CV29.1),DC mode (CV29.2)
1029 NW2 Switcher,Union Pacific,1029,Kato,Mike Dean,176-4374,1029,Yes,100%,$92 plus decoder,"Series 3 with FX3, silent, readback",DN123K3,$24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,129,28/128 Steps,Off
6001 EMD E7A,Southern Pacific,6001,Broadway Limited,Mike Dean,3043,6001,Yes,100%,$159,Paragon 2,Diesel,Have had to reset decoder.,,Bell,Horn 1,Coupler,Blower,Rev Up,Rev Dn,L1 Effect,Master Volume,Shutdown and Startup,Radiator Cooling Fan,Air Release and Fill,Brake Set/Release/Squeal,Horn Grade Crossing,Passenger Sounds,Freight Sounds,Maintenance Sounds,Radio Chatter,City Sounds,Farm Sounds,Industrial Sounds,Lumber Sounds,Horn2,,,,Play Macro,Record Macro,Brake Squeal,0,0,0,28/128 Steps,Off
9155 NW Switcher,Union Pacific,9155,Bachmann,Mike Dean,61651,9155,Yes,100%,$89.40,E-Z Command decoders,4 function decoder (36-550),,Headlights,Dim Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,28/128 Steps,Off
ALCO 2-6-0 Steam,Union Pacific,41,Bachmann,Mike Dean,,41,Yes,100%,$125,E-Z Command decoders,4 function decoder (36-550),Guessing whether this is 4 function or 2 function.,Headlight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,101,28/128 Steps,Off
ALCO PA 605,Union Pacific,605,Broadway Limited,Mike Dean,3104,605,Yes,100%,$159,Paragon 2,Diesel,,,Bell,Horn 1,Coupler,Blower,Rev Up,Rev Dn,L1 Effect,Master Volume,Shutdown and Startup,Radiator Cooling Fan,Air Release and Fill,Brake Set/Release/Squeal,Horn Grade Crossing,Passenger Sounds,Freight Sounds,Maintenance Sounds,Radio Chatter,City Sounds,Farm Sounds,Industrial Sounds,Lumber Sounds,Horn2,,,,Play Macro,Record Macro,Brake Squeal,0,250,38,28/128 Steps,Off
ALCO PA 606,Union Pacific,606,Broadway Limited,Mike Dean,3202,606,Yes,100%,"606A 606B pair purchased, B unit unpowered",Paragon 2,Diesel,,,Bell,Horn 1,Coupler,Blower,Rev Up,Rev Dn,L1 Effect,Master Volume,Shutdown and Startup,Radiator Cooling Fan,Air Release and Fill,Brake Set/Release/Squeal,Horn Grade Crossing,Passenger Sounds,Freight Sounds,Maintenance Sounds,Radio Chatter,City Sounds,Farm Sounds,Industrial Sounds,Lumber Sounds,Horn2,,,,Play Macro,Record Macro,Brake Squeal,0,250,38,28/128 Steps,Off
ALCO PA 606 Update,,,,Mike Dean,,606,Yes,100%,,Paragon 2,Diesel,,,Bell,Horn 1,Coupler,Blower,Rev Up,Rev Dn,L1 Effect,Master Volume,Shutdown and Startup,Radiator Cooling Fan,Air Release and Fill,Brake Set/Release/Squeal,Horn Grade Crossing,Passenger Sounds,Freight Sounds,Maintenance Sounds,Radio Chatter,City Sounds,Farm Sounds,Industrial Sounds,Lumber Sounds,Horn2,,,,Play Macro,Record Macro,Brake Squeal,0,250,38,28/128 Steps,Off
ALCO RS3,Rio Grande,5200,Bachmann,Mike Dean,,5200,Yes,100%,,E-Z Command decoders,4 function decoder (36-550),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,46,101,28/128 Steps,Off
Baldwin 4-6-0 Steam,Union Pacific,1590,Bachmann,Mike Dean,51454,1590,Yes,100%,,E-Z Command decoders,4 function decoder (36-550),,Headlights,Dim Lights,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,28/128 Steps,Off
Big Boy 4-8-8-4,Union Pacific,4023,Athearn,Mike Dean,22904,4023,Yes,100%,"$418
Had to return to Athearn for repairs",Tsunami Steam Genesis OEM,Bigboy 4-8-8-4,,Headlight,Bell,Whistle,Short Whistle,Steam Release,FX5 Light,FX6/# Board Light,Dimmer,Mute,Brake Squeal,Coupler,Injectors,Water Stop,,,,,,,,,,,,,,,,,0,0,0,28/128 Steps,Off
